0,Alice,16_22_51_2021_02_06,50,200
0.1135,0.018,-1.0955,0.1245,0.0185,-1.0005
0.1145,0.01975,-1.09375,0.125,0.02025,-0.9995
0.11375,0.018,-1.09525,0.1245,0.0185,-0.99975
0.112,0.018,-1.0945,0.1225,0.01775,-1
0.112,0.02075,-1.0945,0.1215,0.01775,-0.99975
0.11,0.02225,-1.0915,0.12225,0.01925,-1.00025
0.1125,0.01725,-1.09475,0.12275,0.0165,-1.00175
0.112,0.0165,-1.092,0.123,0.01625,-0.9995
0.1135,0.019,-1.09525,0.12325,0.018,-0.9990001
0.11275,0.01675,-1.09325,0.12475,0.0175,-0.9990001
0.114,0.018,-1.09425,0.12425,0.01825,-0.99875
0.11375,0.01825,-1.09625,0.1245,0.01975,-0.99875
0.113,0.02075,-1.0955,0.12275,0.0185,-1.0005
0.112,0.02,-1.09575,0.122,0.01925,-1.0005
0.1105,0.0195,-1.093,0.1225,0.01775,-1
0.1125,0.02225,-1.0915,0.12175,0.019,-1.00125
0.113,0.0215,-1.09375,0.12325,0.02075,-0.9982501
0.113,0.0165,-1.09825,0.12725,0.01675,-0.99875
0.11425,0.02075,-1.095,0.12625,0.01825,-0.99975
0.112,0.02225,-1.09625,0.12425,0.02275,-0.9995
0.11025,0.01475,-1.091,0.12225,0.017,-1.00075
0.11275,0.0205,-1.09525,0.123,0.02075,-0.998
0.1135,0.0205,-1.09425,0.12325,0.02075,-1.0015
0.11125,0.01925,-1.096,0.12275,0.0195,-0.99975
0.1115,0.0175,-1.0935,0.12075,0.01575,-1.002
0.1135,0.01825,-1.09475,0.12325,0.01675,-1
0.11375,0.01775,-1.09525,0.1235,0.018,-1.00025
0.112,0.02,-1.096,0.12425,0.01875,-0.9985
0.11275,0.01575,-1.093,0.12425,0.01775,-0.99975
0.112,0.02025,-1.09625,0.12325,0.0195,-1
0.11325,0.0185,-1.09475,0.123,0.01825,-0.9995
0.11425,0.01825,-1.09425,0.1235,0.01975,-1
0.1145,0.02125,-1.09425,0.124,0.01975,-0.9992501
