0,Alice,14:33:59_2021_02_06,50,200
0.185,-0.5575,-0.41575,0.14325,0.01375,-0.9625
0.00125,-0.42775,-0.55925,0.1575,-0.00975,-0.99975
0.00125,-0.42775,-0.55925,0.1575,-0.00975,-0.99975
-0.3025,-0.20475,-1.00725,0.15175,-0.02275,-0.9950001
-0.3025,-0.20475,-1.00725,0.15175,-0.02275,-0.9950001
-0.03225,0.612,-1.75225,0.01475,0.0505,-0.799
-0.03225,0.612,-1.75225,0.01475,0.0505,-0.799
0.30975,0.73875,-1.999,0.16,0.00375,-1.3425
0.30975,0.73875,-1.999,0.2485,0.031,-1.06725
-0.0175,0.2855,-1.30225,0.2485,0.031,-1.06725
0.1685,0.007,-1.13925,0.11525,0.08125,-0.822
0.1385,0.11525,-1.30025,0.0965,0.1355,-0.975
0.1055,0.3335,-1.17375,0.1245,0.154,-0.88425
0.1055,0.3335,-1.17375,0.1245,0.154,-0.88425
0.111,-0.57875,-0.84175,0.15125,0.05925,-0.876
0.111,-0.57875,-0.84175,0.15125,0.05925,-0.876
0.3025,-0.1255,-0.73175,0.20825,-0.0965,-1.13675
0.024,0.2075,-1.23775,0.1325,-0.0475,-1.16625
0.0525,0.0555,-1.448,0.12175,0.07925,-0.9195001
0.0525,0.0555,-1.448,0.134,0.06975,-0.9045001
-0.005,-0.0125,-1.36525,0.134,0.06975,-0.9045001
-0.005,-0.0125,-1.36525,0.1715,-0.034,-1.04
0.13075,0.0235,-1.195,0.1715,-0.034,-1.04
0.3025,0.2475,-1.1285,0.15825,-0.047,-1.08475
0.3025,0.2475,-1.1285,0.15825,-0.047,-1.08475
0.7492501,0.54175,-0.7545,0.16325,0.02625,-0.9625
0.7492501,0.54175,-0.7545,0.16325,0.02625,-0.9625
1.7115,1.683,-0.07175,0.14775,0.038,-0.95675
1.7115,1.683,-0.07175,0.14775,0.038,-0.95675
1.07375,2.952,-4.15825,0.1425,-0.007,-1.028
1.07375,2.952,-4.15825,0.1425,-0.007,-1.028
-0.3465,0.56775,-0.477,0.152,-0.01225,-1.048
-0.3465,0.56775,-0.477,0.152,-0.01225,-1.048
-0.1035,1.083,-0.0015,0.152,-0.01225,-1.048
0.34325,0.53925,-0.6305,0.14225,-0.01925,-0.9495
0.34325,0.53925,-0.6305,0.14225,-0.01925,-0.9495
0.368,0.523,-0.92225,0.14225,-0.01225,-0.99625
0.368,0.523,-0.92225,0.14225,-0.01225,-0.99625
0.368,0.523,-0.92225,0.14225,-0.01225,-0.99625
1.24175,1.2545,-0.5595,0.141,0.0075,-0.997
1.24175,1.2545,-0.5595,0.141,0.0075,-0.997
1.6725,1.7465,-0.3465,0.14025,-0.00025,-1.0325
1.6725,1.7465,-0.3465,0.14025,-0.00025,-1.0325
1.941,1.924,-0.5125,0.146,-0.00175,-1.00625
1.941,1.924,-0.5125,0.14525,0.0015,-0.99375
1.67425,1.15875,-0.373,0.14525,0.0015,-0.99375
1.11425,0.9,-0.5435,0.1625,0.00075,-0.99275
1.11425,0.9,-0.5435,0.1625,0.00075,-0.99275
0.6357501,0.55575,-0.60275,0.16375,0.00125,-1.03525
