2,Yufei,21_20_05_2021_02_18,50,300,7
0.83575,-0.02575,0.48225,0.84825,0.32575,0.45725
1.07775,-0.02,0.228,1.12075,0.28825,0.4475
1.10925,-0.0245,0.1635,1.24875,0.28075,0.45375
1.10025,0.04125,0.1145,1.3475,0.3015,0.43725
0.927,0.26475,0.09200001,1.42025,0.51425,0.17675
0.8742501,0.31375,0.119,1.359,0.63075,0.0645
0.8742501,0.31375,0.119,1.21775,0.65825,0.1155
0.8882501,0.3325,-0.03425,0.8885,0.58225,0.2895
0.979,0.3195,-0.10325,0.7905,0.5235,0.2875
1.08125,0.1515,-0.1825,0.72325,0.39725,0.272
1.1605,0.0825,-0.188,0.71525,0.35175,0.32025
1.2425,0.06775001,-0.225,0.7147501,0.34075,0.32475
1.2555,0.1045,-0.25775,0.7212501,0.364,0.3115
1.02875,0.3715,-0.23375,0.7830001,0.39975,0.30775
0.9877501,0.41075,-0.25675,0.84975,0.41475,0.27475
0.89925,0.35675,-0.32475,0.9645001,0.43725,0.209
0.87975,0.38575,-0.23025,0.9767501,0.42475,0.24225
0.8695,0.4185,-0.13925,0.9630001,0.39825,0.309
0.8850001,0.4245,-0.08000001,0.9580001,0.3685,0.35
1.00825,0.3025,-0.046,0.947,0.3545,0.324
1.02175,0.238,-0.01225,0.9342501,0.34125,0.3285
1.0215,0.1655,0.04175,0.93025,0.3115,0.3265
1.02225,0.08525001,0.16,0.9655001,0.25425,0.33425
0.9835001,-0.00125,0.2775,0.9815,0.23625,0.30825
0.78925,-0.212,0.577,0.99725,0.20875,0.252
0.6835001,-0.31575,0.71775,1,0.19325,0.221
0.664,-0.3965,0.80325,0.9815,0.17175,0.22925
0.76625,-0.46925,0.72475,0.94425,0.15825,0.2595
0.802,-0.49725,0.615,0.9407501,0.16075,0.25975
0.8515,-0.4845,0.49625,0.9472501,0.17725,0.24325
0.9080001,-0.447,0.35825,0.9760001,0.20075,0.2255
0.9080001,-0.447,0.35825,1.00975,0.226,0.16
0.8965001,-0.416,0.314,0.9975001,0.2175,0.1405
0.8515,-0.3105,0.3065,0.98125,0.1995,0.1525
0.84175,-0.21325,0.35075,0.95925,0.177,0.2235
0.8322501,-0.13875,0.37675,0.97225,0.1835,0.2285
0.8625,-0.09825,0.3475,0.98625,0.197,0.2305
0.9555001,-0.15925,0.1705,1.01325,0.2205,0.23725
0.9695001,-0.13475,0.1975,1.022,0.22525,0.22875
0.8832501,0.024,0.423,1.035,0.228,0.202
0.86125,0.035,0.43925,1.035,0.228,0.202
0.86825,0.0245,0.4175,1.0565,0.225,0.1555
0.86825,0.0245,0.4175,1.0455,0.21675,0.143
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.924,0.1845,-0.23975,0.59525,0.06375001,0.01875
0.8100001,0.05675,-0.32,0.64425,-0.134,-0.5825
0.8100001,0.05675,-0.32,0.64425,-0.134,-0.5825
0.573,0.09975,-0.45075,0.73075,-0.1255,-0.9735001
0.58375,0.1225,-0.3585,0.68725,-0.14475,-0.9300001
0.54575,0.15175,-0.29175,0.67725,-0.23325,-0.8545001
0.5785,0.1735,-0.325,0.56675,-0.3805,-0.91225
0.60275,0.05375,-0.47775,0.67625,-0.62375,-0.9385
0.6175,-0.02075,-0.62125,0.5735,-0.66975,-0.9770001
0.632,0.04575,-0.73975,0.38825,-0.6210001,-0.9220001
0.632,0.04575,-0.73975,0.36475,-0.63725,-0.891
0.6155,0.16775,-0.8095,0.39375,-0.60075,-0.75875
0.6152501,0.29375,-0.8617501,0.41225,-0.5575,-0.71325
0.5835,0.34525,-0.9345,0.3875,-0.52125,-0.6915
0.54425,0.47275,-1.06675,0.335,-0.47925,-0.698
0.521,0.5,-1.06625,0.33375,-0.487,-0.71425
0.4595,0.53325,-1.04475,0.2965,-0.522,-0.75925
0.458,0.53125,-1.007,0.24675,-0.52425,-0.807
0.44075,0.45825,-0.9867501,0.2625,-0.5420001,-0.8560001
0.385,0.4525,-0.9965001,0.241,-0.51525,-0.874
0.4045,0.4635,-1.03675,0.23425,-0.511,-0.8660001
0.45775,0.44425,-1.01225,0.259,-0.4075,-0.841
0.4535,0.3745,-0.9810001,0.35525,-0.30825,-0.78175
0.47025,0.263,-0.92625,0.257,-0.17425,-0.647
0.6675,-0.05875,-0.99125,0.2095,-0.21925,-0.62725
0.6675,-0.05875,-0.99125,0.2095,-0.21925,-0.62725
0.6675,-0.05875,-0.99125,0.06425,-0.22925,-0.5515
0.7090001,-0.10275,-0.99975,0.168,-0.21075,-0.88625
0.7090001,-0.07725,-0.9587501,0.17875,-0.20475,-0.96675
0.6440001,0.00275,-0.69375,0.06025,-0.276,-0.9507501
0.54475,-0.03075,-0.5412501,0.04575,-0.3605,-0.9562501
0.464,-0.08050001,-0.41725,0.075,-0.32125,-1.18575
0.44675,-0.109,-0.24475,0.229,-0.30325,-1.666
0.484,-0.11775,-0.47975,0.3885,-0.51675,-1.69625
0.48075,-0.38025,-1.1025,0.32975,-0.55325,-1.491
0.32775,-0.4335,-0.9325001,0.28925,-0.545,-1.34125
0.3645,-0.309,-0.7237501,0.214,-0.46875,-1.19975
0.49,-0.27775,-0.9065,0.344,-0.37225,-1.25725
0.46525,-0.48,-1.1885,0.41225,-0.25175,-1.158
0.4545,-0.91475,-1.89425,0.498,-0.53675,-0.9737501
0.305,-0.6382501,-1.84425,0.5105,-0.5325,-0.9015
0.36275,-0.28725,-1.691,0.524,-0.44225,-0.8850001
0.53,-0.30175,-1.52125,0.6005,-0.0665,-0.9910001
0.52175,-0.4035,-1.51,0.619,0.04325,-0.8875
0.49975,-0.42425,-1.41025,0.599,0.00075,-0.7745
0.401,-0.14725,-1.24375,0.5987501,-0.101,-0.72225
0.35625,0.0685,-0.9817501,0.57525,-0.1665,-0.788
0.44275,0.09375001,-0.8235,0.58525,-0.22125,-0.84975
0.52975,-0.01725,-0.823,0.5915,-0.30725,-0.8652501
0.56025,-0.125,-0.86,0.58,-0.29,-0.83825
0.56,-0.04,-0.7992501,0.56675,-0.27675,-0.779
0.4805,0.1665,-0.663,0.56775,-0.33025,-0.7590001
0.49325,0.204,-0.6990001,0.59275,-0.31625,-0.7515
0.509,0.1535,-0.78325,0.74225,-0.1915,-0.8275
0.54825,0.08775,-0.8325,0.80975,-0.13775,-0.8745
0.54825,0.08775,-0.8325,0.9310001,-0.10525,-0.9195001
0.54825,0.08775,-0.8325,1.04925,-0.1215,-0.92225
0.56825,0.08400001,-0.8835,1.37675,-0.23875,-0.8997501
0.5835,0.159,-0.90725,1.69225,-0.25275,-1.0835
0.60525,0.19,-0.9292501,2.0545,-0.299,-1.43575
0.6945,0.116,-0.96575,2.46475,-0.372,-1.2645
0.73975,0.07825001,-0.96975,2.528,-0.255,-1.1055
0.83575,0.067,-0.9250001,2.54825,-0.1365,-1.06925
1.08425,-0.0535,-0.9252501,2.6725,-0.149,-1.39525
1.4915,-0.10525,-1.206,2.62375,-0.17075,-1.54325
1.88475,-0.00975,-1.21125,2.45625,-0.15175,-1.43925
2.19125,-0.053,-1.287,1.624,-0.199,-1.287
2.19825,-0.141,-1.352,1.1335,-0.22,-1.07375
2.23475,-0.27075,-1.33125,0.7147501,-0.1585,-0.802
2.51825,-0.26925,-1.04475,-0.14625,0.27775,-0.36025
2.58925,-0.27875,-1.2405,-0.42675,0.25775,-0.15425
2.37775,-0.361,-1.46675,-0.42675,0.25775,-0.15425
1.534,-0.5255,-1.2345,-0.6985,0.0685,-0.01325
1.19625,-0.41025,-0.76825,-0.67875,-0.03675,-0.04125
0.765,-0.31925,-0.418,-0.72225,0.03125,-0.11375
0.015,-0.238,-0.18375,-0.95025,0.122,-0.13775
-0.33275,-0.19975,-0.13325,-1.03375,-0.101,-0.24425
-0.5470001,-0.048,-0.02,-0.90175,-0.457,-0.321
-0.7467501,0.124,-0.08800001,-0.22925,-1.23775,-0.27375
-0.8605,-0.0475,-0.40425,0.03,-1.1945,-0.35325
-0.95,0.0965,-1.13425,0.08125,-0.7302501,-0.32275
-0.78675,0.4755,-1.0575,-0.03475,0.04275,0.251
-0.6587501,0.814,-0.9102501,-0.0575,0.2415,0.388
-0.40775,0.9852501,-0.31275,0.1805,0.12125,0.24825
-0.372,0.675,0.06175,0.22225,0.09575,0.1045
-0.4295,0.151,0.19225,0.17175,0.1565,-0.02975
-0.359,-0.25475,0.21075,0.2805,0.18725,0.00375
