0,QAQ,21_55_17_2021_02_18,50,200,13
1.049,0.32775,-0.347,1.276,-0.26525,-0.4195
1.09175,0.318,-0.32725,0.81525,0.0295,-0.0595
1.115,0.331,-0.27425,0.9242501,-0.15325,-0.3005
1.16425,0.356,-0.225,1.28625,-0.26125,-0.551
1.22425,0.3975,-0.21325,1.14025,0.02575,-0.548
1.245,0.42525,-0.2105,0.8715,0.4195,-0.335
1.217,0.43275,-0.19475,0.677,0.8132501,0.04125
1.17475,0.44625,-0.19675,0.677,0.8132501,0.04125
1.06675,0.45075,-0.4185,0.59025,0.96025,0.241
1.01325,0.43575,-0.4385,0.27575,1.40725,0.7977501
0.848,0.64775,-0.4775,0.338,1.65425,0.9885001
0.81925,0.62125,-0.568,0.439,1.40175,0.496
0.7830001,0.57225,-0.6385,0.54225,1.132,0.31375
0.79875,0.531,-0.615,0.6677501,0.9242501,0.3495
0.90975,0.38175,-0.6715,0.7915,0.46775,0.43425
0.90275,0.24175,-0.71825,0.7265,0.40325,0.33475
0.8710001,0.06975,-0.67675,0.698,0.383,0.234
0.777,-0.09375001,-0.49575,0.648,0.4365,0.16175
0.628,-0.34475,-0.05325,0.61775,0.57125,0.17625
0.575,-0.31925,0.30375,0.56675,0.6192501,0.26725
0.57475,-0.33675,0.26825,0.588,0.52525,0.23675
0.54075,-0.38425,0.32175,0.6332501,0.48275,0.224
0.537,-0.526,0.36275,0.6905,0.528,0.245
0.58825,-0.61425,0.28125,0.7365,0.7492501,0.32675
0.679,-0.64325,0.14125,0.7647501,0.808,0.29775
0.772,-0.46875,0.06625,0.95575,0.66,0.0775
0.79175,-0.358,0.04175,1.0505,0.53175,-0.032
0.80975,-0.2555,-0.032,1.13125,0.428,-0.09975
0.9367501,-0.103,-0.19375,1.073,0.359,-0.07275
1.0225,-0.05825,-0.269,0.9852501,0.3845,-0.01325
1.0895,-0.01575,-0.2785,0.9852501,0.3845,-0.01325
1.2085,-0.03875,-0.23025,0.9695001,0.29825,-0.045
1.2085,-0.03875,-0.23025,0.9695001,0.29825,-0.045
1.356,-0.10275,-0.187,1.10775,0.319,-0.12775
1.42475,-0.124,-0.27675,1.07525,0.364,-0.07700001
1.6085,-0.02225,-0.321,1.06725,0.403,-0.031
1.7315,0.00875,-0.18025,1.04,0.49525,-0.11725
1.86025,0.0005,-0.15625,1.12775,0.32725,-0.1335
2.08175,-0.03,-0.27325,1.13575,0.126,-0.19325
2.16925,0.00075,-0.4085,1.102,0.07250001,-0.19025
2.2845,0.062,-0.56225,1.066,0.06125,-0.195
2.72725,0.1585,-0.33375,1.0155,0.142,-0.1675
2.85825,0.1285,-0.2745,1.0015,0.148,-0.2075
2.78175,0.0345,-0.316,0.9760001,0.13925,-0.20025
2.6615,-0.06475,-0.41625,0.92575,0.10225,-0.196
2.6615,-0.06475,-0.41625,0.90175,0.086,-0.1855
2.13475,-0.3525,-0.75775,0.8605,0.17975,-0.22075
1.7425,-0.4195,-0.71675,0.848,0.173,-0.17875
1.2745,-0.36575,-0.48825,0.81675,0.16525,-0.19825
1.2745,-0.36575,-0.48825,0.7645,0.19775,-0.24525
1.2745,-0.36575,-0.48825,0.75675,0.1455,-0.38425
0.7985001,-0.2135,-0.238,0.8067501,0.03225,-0.41475
0.46075,0.07075001,-0.10725,0.839,0.01975,-0.42425
0.014,0.4235,-0.20525,0.8247501,0.159,-0.3455
-0.367,0.30325,-0.0425,0.8462501,0.24275,-0.34575
-0.55525,0.01225,0.14875,0.823,0.29025,-0.3615
-0.41675,-0.052,-0.0215,0.96,0.271,-0.3575
-0.123,0.10775,-0.57425,1.0165,0.2495,-0.346
-0.009500001,0.40075,-0.47775,1.058,0.2495,-0.39775
0.09225,0.6160001,-0.66575,1.10975,0.30375,-0.57075
0.1055,0.57275,-0.9062501,1.1165,0.36725,-0.63025
0.1055,0.57275,-0.9062501,1.1015,0.38475,-0.61775
0.0965,0.46775,-0.83675,1.07525,0.34425,-0.58
